Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
49,7839,G38,G38,19,1,E,1,F,E79,F,S,9,1,I9,53,5,11901A,ITALIAN,ENGLISH,6-10 Years
50,7806,K57,K57,15,1,K,2,E,E57,F,S,28,0,I3,52,18,6477,IRISH,ENGLISH,26-30 Years
51,7801,L62,L62,33,1,E,1,D,E81,M,S,9,0,K9,11,18,11747,GREEK,ENGLISH,6-10 Years
52,7839,E27,E27,~,~,~,1,F,E54,M,S,3,1,K1,53,18,11972,UNKNOWN,UNKNOWN,1-5 Years
53,7801,N66,N66,2,1,K,7,A,E54,F,S,19,2,I5,53,18,11721,SCOTTISH,ENGLISH,16-20 Years
54,7840,H41,H41,66,1,J,3,E,E89,M,S,10,0,I9,11,18,11776,JEWISH,ENGLISH,6-10 Years
55,7837,B12,B12,20,20,O,3,G,~,M,~,10,1,I6,54,5,10456,HISPANIC,SPANISH,6-10 Years
56,7801,K55,K55,20,20,O,6,I,E54,M,S,3,0,I6,52,18,11746,HISPANIC,SPANISH,1-5 Years
57,7837,D21,D21,E1,1,A,4,A,I61,F,A,1,0,I8,51,18,10451,AFRICAN AMERICAN,ENGLISH,1-5 Years
58,7840,K59,K59,15,1,K,2,H,~,M,~,11,0,I9,52,18,11764,IRISH,ENGLISH,11-15 Years
59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
60,7837,C17,C17,20,20,O,5,B,E79,F,A,33,0,I9,55,3,10472,HISPANIC,SPANISH,31-35 Years
61,7801,F32,F32,20,20,O,3,E,E35,F,S,7,0,I8,55,18,11726,HISPANIC,SPANISH,6-10 Years
62,7801,J53,J53,10,1,K,3,I,E37,F,S,6,0,I8,53,18,11702,GERMAN,ENGLISH,6-10 Years
63,7808,M64,M64,20,1,O,1,L,E21,F,S,22,0,I3,53,18,6831,HISPANIC,ENGLISH,20-25 Years
64,7804,F32,F32,2,1,K,5,D,E33,M,A,0,0,I6,51,3,7002,SCOTTISH,ENGLISH,0 Years
65,7808,D20,D20,1,1,K,4,A,E74,F,A,4,0,K9,12,5,6902,ENGLISH,ENGLISH,1-5 Years
66,7801,K55,K55,1,1,K,7,F,E32,M,A,34,0,K3,53,18,11704,ENGLISH,ENGLISH,31-35 Years
67,7874,F33,F33,8U,1,M,3,C,I26,F,S,0,0,I8,52,18,08690G,HAITIAN,ENGLISH,0 Years
68,7801,K56,K56,1,1,K,2,H,E57,M,S,23,2,K3,13,18,11758,ENGLISH,ENGLISH,20-25 Years
69,7840,H42,H42,19,1,E,2,D,E95,M,S,24,0,I9,51,18,11779,ITALIAN,ENGLISH,20-25 Years
70,7858,L61,L61,19,1,E,3,F,E66,F,S,32,0,K1,53,18,11581,ITALIAN,ENGLISH,31-35 Years
71,7801,J49,J49,20,1,O,2,I,E56,F,S,12,2,I3,55,18,11735,HISPANIC,ENGLISH,11-15 Years
72,7873,J54,J54,1,1,K,2,L,E52,M,A,1,0,I1,54,18,10977,ENGLISH,ENGLISH,1-5 Years
73,7816,I48,I48,20,20,O,3,B,I21,M,S,3,0,I8,52,18,11937,HISPANIC,SPANISH,1-5 Years
74,7801,J54,J54,20,1,O,7,F,E43,F,S,9,0,I1,51,18,11731,HISPANIC,ENGLISH,6-10 Years
75,7870,N66,N66,33,1,E,4,L,E50,M,S,0,0,I1,54,18,7450,GREEK,ENGLISH,0 Years
76,7806,N67,N67,1,1,K,5,D,I34,M,S,1,0,I6,53,18,6824,ENGLISH,ENGLISH,1-5 Years
77,7858,J53,J53,2,1,K,4,G,E43,M,S,15,1,I2,52,18,11793,SCOTTISH,ENGLISH,11-15 Years
78,7801,K59,K59,19,1,E,1,E,E59,M,S,29,0,I6,13,18,11542,ITALIAN,ENGLISH,26-30 Years
79,7801,N66,N66,19,1,E,3,L,E52,F,S,19,2,I3,54,18,11040,ITALIAN,ENGLISH,16-20 Years
80,7862,J53,J53,20,20,O,1,F,E74,F,M,0,0,I9,53,18,7030,HISPANIC,SPANISH,0 Years
81,7801,K56,K56,E4,1,A,2,D,E62,M,S,3,0,K9,14,18,11590,AFRICAN AMERICAN,ENGLISH,1-5 Years
82,7876,F32,F32,4,1,G,3,E,E43,F,S,6,0,I4,52,18,7874,SWEDISH,ENGLISH,6-10 Years
83,7875,B12,B12,20,20,O,8,G,E53,M,M,4,0,I6,55,18,8805,HISPANIC,SPANISH,1-5 Years
