Customer_id,corp,cohort,cohort_text,ethnic,language,groupcode,cust_res,enhanced_est_income,i1_combined_age,i1_gendercode,dwelling_type,length_of_residence,number_of_children,occupation_group1,education_individual1,product_id,zipcode,ethnic1,lnguage,lnth_res
211,7839,J51,J51,19,~,E,2,F,E71,M,S,0,0,I9,54,18,11944,ITALIAN,UNKNOWN,0 Years
212,7868,J53,J53,4,1,G,2,H,E47,M,S,20,1,I2,53,18,11720,SWEDISH,ENGLISH,16-20 Years
213,7801,J54,J54,19,20,E,3,E,E73,F,S,6,0,I9,54,18,11801,ITALIAN,SPANISH,6-10 Years
214,7840,J53,J53,19,1,E,2,F,E60,M,S,11,0,I1,54,18,11763,ITALIAN,ENGLISH,11-15 Years
215,7858,O68,O68,1,1,K,1,F,E61,M,S,29,0,I1,54,18,11710,ENGLISH,ENGLISH,26-30 Years
216,7801,P70,P70,19,21,E,2,L,E70,F,S,42,1,I9,51,18,11725,ITALIAN,PORTUGUESE,36+ Years
217,7840,K58,K58,19,1,E,3,F,E76,F,S,27,0,I9,12,18,11763,ITALIAN,ENGLISH,26-30 Years
218,7840,L63,L63,19,1,E,2,C,E70,M,S,9,1,K4,12,18,11764,ITALIAN,ENGLISH,6-10 Years
219,7882,F32,F32,50,7A,C,3,E,E39,M,S,11,0,I4,12,18,10562,INDIAN,HINDI,11-15 Years
220,7839,O68,O68,1,1,K,2,B,E48,M,S,12,0,I4,53,3,11976,ENGLISH,ENGLISH,11-15 Years
221,7840,H42,H42,22,1,L,1,E,E68,M,A,40,0,K6,11,3,11717,POLISH,ENGLISH,36+ Years
222,7818,E26,E26,15,1,K,9,D,~,M,~,7,0,I3,52,18,11730,IRISH,ENGLISH,6-10 Years
223,7840,J51,J51,19,1,E,6,H,E47,F,S,14,1,I3,54,18,11741,ITALIAN,ENGLISH,11-15 Years
224,7869,L63,L63,20,1,O,1,K,E71,M,S,35,0,I9,13,18,10523,HISPANIC,ENGLISH,31-35 Years
225,7840,H41,H41,19,1,E,4,D,E77,M,S,16,0,K9,12,18,11763,ITALIAN,ENGLISH,16-20 Years
226,7870,N65,N65,2,1,K,1,C,E45,M,S,20,0,I2,55,18,7470,SCOTTISH,ENGLISH,16-20 Years
227,7840,O68,O68,19,1,E,3,G,~,F,~,20,0,I3,53,5,11725,ITALIAN,ENGLISH,16-20 Years
228,7868,N66,N66,10,1,K,5,H,E52,F,S,19,1,I3,54,5,11790,GERMAN,ENGLISH,16-20 Years
229,7837,F31,F31,19,20,E,4,C,E75,F,A,36,0,I9,55,18,10462,ITALIAN,SPANISH,36+ Years
230,7837,B12,B12,20,20,O,1,B,E40,F,A,2,1,I5,51,18,10462,HISPANIC,SPANISH,1-5 Years
231,7808,K58,K58,19,19,E,1,F,~,M,S,50,0,U0,0,18,6840,ITALIAN,ITALIAN,36+ Years
232,7868,J49,J49,2,1,K,3,E,I63,M,S,16,0,I6,52,18,11755,SCOTTISH,ENGLISH,16-20 Years
233,7806,D20,D20,20,20,O,12,C,E71,F,A,20,0,I9,55,5,6608,HISPANIC,SPANISH,16-20 Years
234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
235,7801,J53,J53,15,1,K,2,H,E47,F,S,8,1,I3,53,18,11547,IRISH,ENGLISH,6-10 Years
236,7801,N65,N65,8U,1,M,1,H,E47,F,S,16,1,I5,53,18,11743,HAITIAN,ENGLISH,16-20 Years
237,7836,E27,E27,8W,1,M,6,F,E52,F,A,9,0,I3,53,18,11226,JAMAICAN,ENGLISH,6-10 Years
238,7869,J53,J53,10,1,K,8,H,E52,M,A,8,1,I1,54,18,10706,GERMAN,ENGLISH,6-10 Years
239,7801,K58,K58,19,1,E,2,F,E52,M,S,52,2,I1,11,18,11731,ITALIAN,ENGLISH,36+ Years
240,7840,J51,J51,19,~,E,7,F,E39,M,S,14,1,I1,53,18,11778,ITALIAN,UNKNOWN,11-15 Years
241,7801,H42,H42,10,1,K,2,E,E66,M,S,38,0,K1,12,18,11703,GERMAN,ENGLISH,36+ Years
242,7839,H42,H42,19,1,E,1,F,E36,M,S,13,0,I4,53,18,11901A,ITALIAN,ENGLISH,11-15 Years
243,7858,B12,B12,20,20,O,7,D,I35,M,S,1,0,I6,55,18,11520,HISPANIC,SPANISH,1-5 Years
244,7858,L61,L61,10,1,K,2,B,E69,M,S,28,0,K1,13,5,11590,GERMAN,ENGLISH,26-30 Years
245,7828,J53,J53,1,1,K,3,G,E39,M,S,10,1,I1,53,18,11563,ENGLISH,ENGLISH,6-10 Years
246,7840,K55,K55,2,1,K,2,G,E62,F,S,38,0,K6,13,18,11722,SCOTTISH,ENGLISH,36+ Years
247,7882,P71,P71,66,1,J,1,L,E80,M,S,20,0,I9,54,3,10514,JEWISH,ENGLISH,16-20 Years
248,7808,H41,H41,1,1,K,5,E,E63,U,A,8,0,I6,52,18,6905,ENGLISH,ENGLISH,6-10 Years
249,7858,L62,L62,1,1,K,1,I,~,M,S,24,0,U0,0,5,11783,ENGLISH,ENGLISH,20-25 Years
250,7858,K58,K58,19,19,E,3,E,E78,M,A,35,0,I9,51,5,11572,ITALIAN,ITALIAN,31-35 Years
251,7839,L60,L60,20,20,O,2,D,~,M,~,33,0,I9,51,18,11946,HISPANIC,SPANISH,31-35 Years
252,7801,N67,N67,10,1,K,1,L,E50,M,S,7,0,I3,53,5,11791,GERMAN,ENGLISH,6-10 Years
253,7802,L63,L63,16,1,K,1,B,E72,M,S,43,2,I9,54,18,7410,WELSH,ENGLISH,36+ Years
254,7836,D21,D21,30,1,L,1,D,E89,F,A,23,0,I9,55,5,11224,RUSSIAN,ENGLISH,20-25 Years
255,7883,G38,G38,15,1,K,3,E,E38,F,S,29,1,I8,52,18,12538,IRISH,ENGLISH,26-30 Years
256,7802,J54,J54,53,1,N,4,F,E37,M,S,34,0,K5,51,18,7652,CHINESE,ENGLISH,31-35 Years
257,7803,J52,J52,20,20,O,3,G,E45,F,S,0,0,I7,55,3,10598,HISPANIC,SPANISH,0 Years
258,7868,H39,H39,66,1,J,5,H,E78,M,S,3,0,K3,14,18,11738,JEWISH,ENGLISH,1-5 Years
259,7840,O68,O68,19,1,E,1,H,~,U,~,9,1,I2,52,18,11725,ITALIAN,ENGLISH,6-10 Years
260,7806,F33,F33,~,~,~,~,G,E48,F,A,0,0,I8,54,18,6460,UNKNOWN,UNKNOWN,0 Years
261,7801,J53,J53,19,1,E,2,F,E37,M,S,6,3,I4,53,18,11501,ITALIAN,ENGLISH,6-10 Years
262,7858,L63,L63,10,1,K,1,C,E73,M,S,40,0,K3,12,18,11552,GERMAN,ENGLISH,36+ Years
263,7862,B12,B12,20,20,O,1,B,~,U,~,3,0,I3,52,18,7093,HISPANIC,SPANISH,1-5 Years
264,7818,L60,L60,1,1,K,1,G,E66,M,S,40,1,K3,55,18,11751,ENGLISH,ENGLISH,36+ Years
265,7882,K55,K55,1,1,K,7,E,E61,F,A,9,0,K9,11,18,10520,ENGLISH,ENGLISH,6-10 Years
266,7840,K58,K58,85,1,A,4,K,E29,M,S,21,0,I8,53,18,11779,AFRICAN AMERICAN,ENGLISH,20-25 Years
267,7870,F31,F31,53,53,N,18,F,~,U,~,7,1,I1,13,3,7470,CHINESE,CHINESE (MANDARIN,
268,7858,J52,J52,10,1,K,5,E,~,M,S,22,0,U0,0,5,11572,GERMAN,ENGLISH,20-25 Years
269,7818,K58,K58,19,1,E,1,L,E56,M,S,10,2,I1,53,3,11706,ITALIAN,ENGLISH,6-10 Years
270,7839,K58,K58,10,1,K,1,G,E64,F,S,19,1,K3,12,18,11971,GERMAN,ENGLISH,16-20 Years
271,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
272,7872,G35,G35,20,1,O,7,C,~,F,~,8,0,I4,51,18,7514,HISPANIC,ENGLISH,6-10 Years
273,7836,F31,F31,~,~,~,~,A,E46,M,M,2,0,I8,51,18,11226,UNKNOWN,UNKNOWN,1-5 Years
274,7839,G38,G38,1,1,K,1,D,E62,F,S,27,0,K9,11,18,11944,ENGLISH,ENGLISH,26-30 Years
275,7840,K56,K56,19,1,E,1,E,E84,F,A,19,0,K3,51,5,11788,ITALIAN,ENGLISH,16-20 Years
276,7867,H42,H42,1,1,K,2,A,I40,M,A,0,0,I6,52,18,8751,ENGLISH,ENGLISH,0 Years
277,7858,I45,I45,8U,1,M,3,K,E49,M,S,15,0,I6,55,18,11580,HAITIAN,ENGLISH,11-15 Years
278,7803,N65,N65,21,1,Z,1,J,E54,M,S,17,1,K1,13,18,10547,PORTUGUESE,ENGLISH,16-20 Years
279,7876,J53,J53,~,~,~,~,I,E36,F,S,9,4,I3,53,18,7981,UNKNOWN,UNKNOWN,6-10 Years
280,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
281,7844,A05,A05,20,1,O,3,A,I55,F,A,0,0,I6,51,18,7102,HISPANIC,ENGLISH,0 Years
282,7877,K59,K59,1,1,K,1,H,E57,M,S,12,0,K3,13,5,10990,ENGLISH,ENGLISH,11-15 Years
283,7837,B12,B12,E3,1,A,1,A,E85,F,A,7,0,I9,55,18,10475,AFRICAN AMERICAN,ENGLISH,6-10 Years
284,7808,J52,J52,50,1,C,3,H,E55,M,S,12,0,K4,54,18,6851,INDIAN,ENGLISH,11-15 Years
285,7840,K56,K56,10,1,K,3,F,E54,M,S,34,1,K1,13,18,11779,GERMAN,ENGLISH,31-35 Years
286,7837,B11,B11,1,1,K,3,A,~,M,~,22,1,I8,51,3,10451,ENGLISH,ENGLISH,20-25 Years
287,7840,K56,K56,10,1,K,2,E,~,M,S,19,0,U0,0,18,11776,GERMAN,ENGLISH,16-20 Years
288,7864,L63,L63,~,~,~,~,H,I20,F,S,20,1,I8,53,18,7728,UNKNOWN,UNKNOWN,16-20 Years
289,7858,K58,K58,8,1,K,1,C,E80,U,S,53,0,I9,51,3,11793,DUTCH,ENGLISH,36+ Years
290,7801,J50,J50,19,1,E,1,L,E45,U,A,43,0,I6,51,18,11704,ITALIAN,ENGLISH,36+ Years
291,7872,J49,J49,20,1,O,2,F,~,F,~,17,1,I6,53,3,7504,HISPANIC,ENGLISH,16-20 Years
292,7858,L63,L63,~,~,~,9,J,E51,F,S,3,0,I8,54,3,11561,UNKNOWN,UNKNOWN,1-5 Years
293,7839,E27,E27,10,1,K,3,D,I48,M,S,12,0,I6,53,18,11946,GERMAN,ENGLISH,11-15 Years
294,7866,F31,F31,~,~,~,~,D,~,M,~,6,0,I8,11,18,07719F,UNKNOWN,UNKNOWN,6-10 Years
295,7801,N66,N66,XG,1,C,3,J,E41,F,S,4,2,I3,13,18,11758,S ASIAN,ENGLISH,1-5 Years
296,7873,J49,J49,8U,1,M,9,I,E33,U,S,2,0,I8,54,18,10977,HAITIAN,ENGLISH,1-5 Years
297,7875,F31,F31,~,~,~,~,E,E39,F,A,12,0,I8,52,18,8876,UNKNOWN,UNKNOWN,11-15 Years
298,7840,K58,K58,1,1,K,2,F,E59,M,S,21,0,I1,13,18,11780,ENGLISH,ENGLISH,20-25 Years
299,7840,J53,J53,19,1,E,1,F,E84,M,S,46,0,I9,51,18,11787,ITALIAN,ENGLISH,36+ Years
300,7840,L60,L60,10,1,K,4,G,E74,M,S,27,1,K1,13,18,11727,GERMAN,ENGLISH,26-30 Years
301,7858,K58,K58,E2,1,A,1,E,E56,F,S,21,0,I3,55,5,11575,AFRICAN AMERICAN,ENGLISH,20-25 Years
302,7801,F32,F32,16,1,K,8,H,E49,F,A,1,2,I3,14,18,11542,WELSH,ENGLISH,1-5 Years
303,7858,K58,K58,1,1,K,5,H,E58,M,S,7,0,I4,54,18,11552,ENGLISH,ENGLISH,6-10 Years
304,7868,J54,J54,10,1,K,1,B,E52,F,S,14,0,K1,14,18,11742,GERMAN,ENGLISH,11-15 Years
305,7870,I45,I45,10,1,K,2,I,E36,M,S,8,2,I1,52,18,07508C,GERMAN,ENGLISH,6-10 Years
306,7801,J54,J54,10,1,K,3,I,E48,M,S,20,0,I1,13,3,11758,GERMAN,ENGLISH,16-20 Years
307,7858,O68,O68,2,1,K,1,K,E61,M,S,26,0,K3,14,18,11530,SCOTTISH,ENGLISH,26-30 Years
308,7872,B08,B08,20,20,O,10,D,I46,M,A,8,0,I6,51,18,7503,HISPANIC,SPANISH,6-10 Years
309,7858,O68,O68,37,1,L,1,L,E83,F,S,36,0,I9,53,18,11598,ROMANIAN,ENGLISH,36+ Years
310,7837,K58,K58,56,56,N,6,F,~,U,~,10,0,I1,54,18,10471,KOREAN,KOREAN,6-10 Years
311,7883,J51,J51,4,~,G,1,E,~,F,~,15,0,I4,52,18,12531,SWEDISH,UNKNOWN,11-15 Years
312,7844,D21,D21,20,20,O,7,C,I32,M,A,2,0,I6,51,3,7208,HISPANIC,SPANISH,1-5 Years
313,7868,O68,O68,19,1,E,1,H,E56,M,S,27,0,I1,53,18,11755,ITALIAN,ENGLISH,26-30 Years
314,7808,P70,P70,2,1,K,3,L,E70,F,S,13,0,I9,53,18,6903,SCOTTISH,ENGLISH,11-15 Years
315,7801,J54,J54,66,1,J,4,G,E86,M,A,7,1,K3,13,18,11577,JEWISH,ENGLISH,6-10 Years
316,7801,K58,K58,10,1,K,2,E,E56,M,S,40,0,I6,54,5,11702,GERMAN,ENGLISH,36+ Years
317,7862,I46,I46,13,13,L,2,D,I27,M,A,0,0,I4,51,18,7030,CZECH,CZECH,0 Years
318,7858,H42,H42,19,1,E,3,B,E72,F,A,13,0,I9,51,18,11510,ITALIAN,ENGLISH,11-15 Years
319,7801,P70,P70,19,1,E,2,H,E66,F,S,37,0,K9,14,3,11735,ITALIAN,ENGLISH,36+ Years
320,7801,P70,P70,10,1,K,1,D,~,M,S,57,0,U0,0,18,11747,GERMAN,ENGLISH,36+ Years
321,7801,J50,J50,E1,1,A,6,G,E65,F,A,48,3,I9,51,18,11704,AFRICAN AMERICAN,ENGLISH,36+ Years
322,7858,K58,K58,1,1,K,8,F,E64,F,A,0,0,I5,54,18,11570,ENGLISH,ENGLISH,0 Years
323,7869,J54,J54,19,1,E,8,E,E21,M,A,3,0,I8,52,18,10707,ITALIAN,ENGLISH,1-5 Years
324,7869,K58,K58,38,1,L,3,K,E61,M,S,15,0,I3,55,18,10706,ALBANIAN,ENGLISH,11-15 Years
325,7875,F33,F33,20,20,O,7,D,I32,M,A,1,0,I8,51,18,8835,HISPANIC,SPANISH,1-5 Years
326,7837,B11,B11,85,1,A,9,B,E72,M,A,10,0,I9,55,5,10457,AFRICAN AMERICAN,ENGLISH,6-10 Years
327,7840,K58,K58,19,1,E,2,J,E37,M,S,1,0,I8,53,18,11725,ITALIAN,ENGLISH,1-5 Years
328,7858,J53,J53,10,1,K,4,G,E44,M,S,10,6,I1,53,18,11552,GERMAN,ENGLISH,6-10 Years
329,7839,D21,D21,1,1,K,1,D,E74,M,A,11,0,K3,13,18,11901A,ENGLISH,ENGLISH,11-15 Years
330,7836,G35,G35,85,1,A,1,F,E63,M,A,17,0,I1,53,18,11213,AFRICAN AMERICAN,ENGLISH,16-20 Years
331,7875,F33,F33,20,20,O,1,E,E43,F,S,31,0,I4,55,5,8901,HISPANIC,SPANISH,31-35 Years
332,7801,J53,J53,33,30,E,4,E,E83,U,S,31,1,K6,51,18,11735,GREEK,RUSSIAN,31-35 Years
333,7864,L63,L63,30,1,L,1,J,E67,M,S,23,0,K1,13,18,07726A,RUSSIAN,ENGLISH,20-25 Years
334,7837,D18,D18,20,20,O,3,E,E38,F,A,20,0,I6,51,18,10452,HISPANIC,SPANISH,16-20 Years
335,7801,P70,P70,9N,9N,B,1,E,E74,M,S,40,0,K3,14,18,11040,FILIPINO,TAGALOG,36+ Years
336,7840,L60,L60,XG,1,C,2,F,E74,M,S,34,1,K3,12,18,11722,S ASIAN,ENGLISH,31-35 Years
337,7804,G38,G38,10,1,K,1,F,~,F,~,11,0,I6,53,18,7002,GERMAN,ENGLISH,11-15 Years
338,7801,J53,J53,15,1,K,1,C,E79,M,S,49,0,I9,12,18,11803,IRISH,ENGLISH,36+ Years
339,7870,I48,I48,19,1,E,3,H,E58,M,S,10,0,I2,54,18,7012,ITALIAN,ENGLISH,6-10 Years
340,7840,J50,J50,15,1,K,6,F,E60,M,S,14,0,I8,51,18,11772,IRISH,ENGLISH,11-15 Years
341,7801,F32,F32,10,1,K,2,E,E78,M,S,14,0,I9,52,18,11757,GERMAN,ENGLISH,11-15 Years
342,7839,L63,L63,15,1,K,2,A,E69,M,S,11,0,I9,12,18,11971,IRISH,ENGLISH,11-15 Years
343,7801,L63,L63,5,1,G,2,E,E74,M,S,8,0,I9,11,17,11768,NORWEGIAN,ENGLISH,6-10 Years
344,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
345,7836,K58,K58,~,~,~,~,H,E59,F,S,19,2,I3,14,18,11234,UNKNOWN,UNKNOWN,16-20 Years
346,7868,F31,F31,15,1,K,5,G,E38,F,S,9,0,K3,13,18,11951,IRISH,ENGLISH,6-10 Years
347,7840,L63,L63,1,1,K,1,G,E68,M,S,8,0,I9,54,18,11766,ENGLISH,ENGLISH,6-10 Years
348,7840,H39,H39,1,1,K,1,E,E49,M,S,0,2,K8,11,18,11772,ENGLISH,ENGLISH,0 Years
349,7801,L61,L61,15,1,K,1,U,~,F,S,0,0,U0,0,5,11801,IRISH,ENGLISH,0 Years
350,7801,N66,N66,10,1,K,2,L,E50,F,S,21,2,K1,13,18,11791,GERMAN,ENGLISH,20-25 Years
351,7837,A05,A05,20,20,O,10,G,E33,F,A,2,1,I5,53,3,10463,HISPANIC,SPANISH,1-5 Years
352,7836,F31,F31,15,1,K,12,A,~,U,~,17,0,I6,55,18,11204,IRISH,ENGLISH,16-20 Years
353,7858,K58,K58,15,1,K,1,G,E47,F,S,21,0,I5,53,18,11566,IRISH,ENGLISH,20-25 Years
354,7808,F29,F29,~,~,~,1,E,~,~,~,7,0,I8,55,18,6902,UNKNOWN,UNKNOWN,6-10 Years
355,7801,P70,P70,19,1,E,1,F,E67,M,S,32,0,K1,54,18,11758,ITALIAN,ENGLISH,31-35 Years
356,7866,F28,F28,20,20,O,12,C,~,M,~,10,1,I8,55,18,7719,HISPANIC,SPANISH,6-10 Years
357,7840,J53,J53,15,1,K,2,I,E47,M,S,24,3,I6,51,18,11795,IRISH,ENGLISH,20-25 Years
358,7839,D21,D21,2,1,K,1,F,E77,F,A,11,1,I9,55,18,11901A,SCOTTISH,ENGLISH,11-15 Years
359,7876,F31,F31,43,1,L,10,F,I26,F,S,7,0,I8,53,18,7828,BOSNIAK,ENGLISH,6-10 Years
360,7801,I45,I45,XG,7A,C,3,D,I27,M,S,1,0,I8,52,18,11801,S ASIAN,HINDI,1-5 Years
361,7817,G35,G35,20,1,O,5,G,E43,F,S,5,0,I3,51,18,12594,HISPANIC,ENGLISH,1-5 Years
362,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
363,7870,F32,F32,53,1,N,2,I,E44,F,S,5,1,K8,14,18,7666,CHINESE,ENGLISH,1-5 Years
364,7840,J53,J53,22,1,L,2,I,E53,M,S,47,1,I1,51,18,11795,POLISH,ENGLISH,36+ Years
365,7837,D18,D18,E5,1,A,1,A,E66,F,A,19,0,I9,12,18,10459,AFRICAN AMERICAN,ENGLISH,16-20 Years
366,7801,I48,I48,1,1,K,2,G,E71,M,S,16,0,I9,55,18,11579,ENGLISH,ENGLISH,16-20 Years
367,7875,N67,N67,19,20,E,2,H,E45,F,S,13,0,I1,54,18,07920C,ITALIAN,SPANISH,11-15 Years
368,7837,H42,H42,20,20,O,5,D,E57,F,A,3,0,I8,52,18,10473,HISPANIC,SPANISH,1-5 Years
369,7808,N65,N65,1,1,K,4,A,I30,M,S,5,0,I1,54,3,6831,ENGLISH,ENGLISH,1-5 Years
370,7836,E26,E26,85,1,A,6,B,E40,F,A,11,0,I1,51,18,11208,AFRICAN AMERICAN,ENGLISH,11-15 Years
371,7836,G38,G38,E1,1,A,4,K,E43,U,A,2,0,I6,52,18,11203,AFRICAN AMERICAN,ENGLISH,1-5 Years
372,7876,K58,K58,9V,1,I,4,H,E46,F,S,0,1,K6,51,18,7034,YEMENI,ENGLISH,0 Years
373,7876,J52,J52,19,~,E,2,E,E52,M,S,0,0,I6,54,18,7866,ITALIAN,UNKNOWN,0 Years
374,7806,P70,P70,17,1,K,2,L,I29,M,S,0,0,I8,53,18,6824,FRENCH,ENGLISH,0 Years
375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
376,7868,H42,H42,17,1,K,1,~,~,~,~,~,~,~,~,18,11967,FRENCH,ENGLISH,Missing
377,7883,K57,K57,66,1,J,2,F,E63,M,S,10,0,I6,54,18,12524,JEWISH,ENGLISH,6-10 Years
378,7801,K58,K58,1,1,K,5,E,~,M,S,43,0,U0,0,5,11758,ENGLISH,ENGLISH,36+ Years
379,7836,F31,F31,10,1,K,1,U,~,M,A,0,0,U0,0,5,11230,GERMAN,ENGLISH,0 Years
380,7858,J53,J53,8,1,K,1,H,E50,F,S,7,1,I5,53,18,11572,DUTCH,ENGLISH,6-10 Years
381,7801,N66,N66,20,1,O,3,H,E49,M,S,20,0,I1,13,18,11804,HISPANIC,ENGLISH,16-20 Years
382,7858,K55,K55,10,1,K,4,F,E48,M,S,27,0,I1,55,18,11559,GERMAN,ENGLISH,26-30 Years
383,7881,F32,F32,10,1,K,1,G,E42,M,S,10,2,I1,55,18,6779,GERMAN,ENGLISH,6-10 Years
384,7883,J50,J50,8S,1,A,5,F,E19,F,S,7,1,I8,52,18,12601,ASHANTI,ENGLISH,6-10 Years
385,7801,O68,O68,1,1,K,2,H,~,M,~,22,0,I1,54,18,11746,ENGLISH,ENGLISH,20-25 Years
386,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
387,7868,J49,J49,19,1,E,4,I,E44,M,S,7,1,K3,12,18,11784,ITALIAN,ENGLISH,6-10 Years
388,7801,J52,J52,15,1,K,2,E,~,M,S,41,0,U0,0,5,11735,IRISH,ENGLISH,36+ Years
389,7837,D21,D21,~,~,~,~,D,E68,F,A,13,0,I9,55,18,10451,UNKNOWN,UNKNOWN,11-15 Years
390,7870,H39,H39,19,1,E,12,F,E25,F,S,22,1,I5,52,18,7508,ITALIAN,ENGLISH,20-25 Years
391,7858,K58,K58,1,~,K,8,G,E58,M,A,6,0,I3,52,5,11570,ENGLISH,UNKNOWN,6-10 Years
392,7801,P70,P70,3,3,G,2,J,~,F,S,28,0,U0,0,18,11743,DANISH,DANISH,26-30 Years
393,7840,G38,G38,15,1,K,2,B,E56,F,S,6,0,I6,52,18,11779,IRISH,ENGLISH,6-10 Years
394,7870,G38,G38,~,~,~,2,~,~,~,~,~,~,~,~,18,7055,UNKNOWN,UNKNOWN,Missing
395,7816,K58,K58,1,1,K,2,B,E88,F,P,23,0,I9,55,3,11954,ENGLISH,ENGLISH,20-25 Years
396,7862,H42,H42,19,1,E,5,A,~,M,~,2,0,I8,53,3,7030,ITALIAN,ENGLISH,1-5 Years
397,7840,L61,L61,19,1,E,1,H,E34,M,S,5,3,I3,54,18,11763,ITALIAN,ENGLISH,1-5 Years
398,7862,G38,G38,20,20,O,4,E,E35,M,S,13,0,I6,11,18,7047,HISPANIC,SPANISH,11-15 Years
399,7858,B12,B12,20,~,O,6,H,I64,F,S,7,0,I8,51,5,11550,HISPANIC,UNKNOWN,6-10 Years
400,7868,G37,G37,20,20,O,2,E,E58,M,S,30,2,I6,55,18,11950,HISPANIC,SPANISH,26-30 Years
401,7836,F31,F31,19,~,E,7,A,I26,F,A,6,0,I8,52,18,11223,ITALIAN,UNKNOWN,6-10 Years
402,7840,O68,O68,19,19,E,2,I,I52,M,S,10,0,I6,52,18,11715,ITALIAN,ITALIAN,6-10 Years
403,7865,H42,H42,10,~,K,1,H,E67,M,S,8,0,K8,54,18,8701,GERMAN,UNKNOWN,6-10 Years
404,7808,K58,K58,8,1,K,5,G,~,M,~,12,0,I5,52,18,6851,DUTCH,ENGLISH,11-15 Years
405,7844,B12,B12,~,~,~,~,F,E39,F,S,12,2,I5,51,3,7208,UNKNOWN,UNKNOWN,11-15 Years
406,7808,F29,F29,19,1,E,7,E,~,F,~,20,0,I8,13,18,6902,ITALIAN,ENGLISH,16-20 Years
407,7801,K55,K55,11,1,K,2,F,E59,M,S,40,3,I1,54,18,11729,AUSTRIAN,ENGLISH,36+ Years
408,7876,F31,F31,30,1,L,3,E,E59,M,S,20,0,I1,13,18,7801,RUSSIAN,ENGLISH,16-20 Years
409,7858,L62,L62,1,1,K,2,C,E90,F,S,48,0,I9,51,5,11783,ENGLISH,ENGLISH,36+ Years
410,7868,H39,H39,15,1,K,1,F,E36,U,S,42,1,I1,54,18,11950,IRISH,ENGLISH,36+ Years
411,7801,K58,K58,10,1,K,1,E,E88,M,S,48,0,I9,51,18,11801,GERMAN,ENGLISH,36+ Years
412,7836,F31,F31,I1,1,A,6,G,E39,M,A,6,0,I8,53,3,11203,AFRICAN AMERICAN,ENGLISH,6-10 Years
413,7837,A05,A05,20,20,O,5,E,E50,F,A,4,0,I4,52,3,10468,HISPANIC,SPANISH,1-5 Years
414,7868,F31,F31,20,1,O,1,G,E43,F,S,5,1,I5,51,18,11951,HISPANIC,ENGLISH,1-5 Years
415,7858,K58,K58,19,1,E,1,C,E83,M,S,38,0,K4,51,18,11572,ITALIAN,ENGLISH,36+ Years
416,7840,H42,H42,15,1,K,4,F,E45,F,S,13,2,I8,52,18,11961,IRISH,ENGLISH,11-15 Years
417,7858,K58,K58,20,20,O,5,F,E50,M,S,17,2,I6,54,18,11580,HISPANIC,SPANISH,16-20 Years
418,7844,F31,F31,20,20,O,2,E,E42,M,S,18,0,I6,52,18,7202,HISPANIC,SPANISH,16-20 Years
419,7837,C17,C17,20,20,O,7,A,E56,F,A,8,0,I8,51,5,10457,HISPANIC,SPANISH,6-10 Years
420,7836,G35,G35,30,1,L,2,C,E90,M,A,12,0,I9,55,5,11230,RUSSIAN,ENGLISH,11-15 Years
421,7870,K55,K55,33,1,E,4,F,E56,F,A,15,0,I8,53,18,7013,GREEK,ENGLISH,11-15 Years
422,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
423,7840,N65,N65,1,1,K,2,J,E53,F,S,25,0,I5,54,3,11725,ENGLISH,ENGLISH,20-25 Years
424,7837,C17,C17,20,20,O,3,A,E63,F,A,13,0,K9,14,18,10459,HISPANIC,SPANISH,11-15 Years
425,7840,J53,J53,2,1,K,3,G,E43,F,S,9,0,I2,52,18,11782,SCOTTISH,ENGLISH,6-10 Years
426,7837,H42,H42,10,1,K,1,F,E70,M,A,8,0,I9,51,18,10463,GERMAN,ENGLISH,6-10 Years
427,7801,H41,H41,15,1,K,2,G,E79,F,S,27,0,I9,51,18,11704,IRISH,ENGLISH,26-30 Years
428,7868,H42,H42,15,1,K,4,F,E67,M,S,41,0,I9,51,3,11950,IRISH,ENGLISH,36+ Years
